Phenotype,Source
25221#Mean L1 in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25222#Mean L1 in anterior corona radiata on FA skeleton (right),Quantitative
25223#Mean L1 in anterior corona radiata on FA skeleton (left),Quantitative
25224#Mean L1 in superior corona radiata on FA skeleton (right),Quantitative
25225#Mean L1 in superior corona radiata on FA skeleton (left),Quantitative
25226#Mean L1 in posterior corona radiata on FA skeleton (right),Quantitative
25227#Mean L1 in posterior corona radiata on FA skeleton (left),Quantitative
25228#Mean L1 in posterior thalamic radiation on FA skeleton (right),Quantitative
25229#Mean L1 in posterior thalamic radiation on FA skeleton (left),Quantitative
25230#Mean L1 in sagittal stratum on FA skeleton (right),Quantitative
25231#Mean L1 in sagittal stratum on FA skeleton (left),Quantitative
25232#Mean L1 in external capsule on FA skeleton (right),Quantitative
25233#Mean L1 in external capsule on FA skeleton (left),Quantitative
25234#Mean L1 in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25235#Mean L1 in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25236#Mean L1 in cingulum hippocampus on FA skeleton (right),Quantitative
25237#Mean L1 in cingulum hippocampus on FA skeleton (left),Quantitative
25238#Mean L1 in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25239#Mean L1 in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25240#Mean L1 in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25241#Mean L1 in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25242#Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25243#Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25244#Mean L1 in uncinate fasciculus on FA skeleton (right),Quantitative
25245#Mean L1 in uncinate fasciculus on FA skeleton (left),Quantitative
25246#Mean L1 in tapetum on FA skeleton (right),Quantitative
25247#Mean L1 in tapetum on FA skeleton (left),Quantitative
25248#Mean L2 in middle cerebellar peduncle on FA skeleton,Quantitative
25249#Mean L2 in pontine crossing tract on FA skeleton,Quantitative
25250#Mean L2 in genu of corpus callosum on FA skeleton,Quantitative
25251#Mean L2 in body of corpus callosum on FA skeleton,Quantitative
25252#Mean L2 in splenium of corpus callosum on FA skeleton,Quantitative
25253#Mean L2 in fornix on FA skeleton,Quantitative
25254#Mean L2 in corticospinal tract on FA skeleton (right),Quantitative
25255#Mean L2 in corticospinal tract on FA skeleton (left),Quantitative
25256#Mean L2 in medial lemniscus on FA skeleton (right),Quantitative
25257#Mean L2 in medial lemniscus on FA skeleton (left),Quantitative
25258#Mean L2 in inferior cerebellar peduncle on FA skeleton (right),Quantitative
25259#Mean L2 in inferior cerebellar peduncle on FA skeleton (left),Quantitative
25260#Mean L2 in superior cerebellar peduncle on FA skeleton (right),Quantitative
25261#Mean L2 in superior cerebellar peduncle on FA skeleton (left),Quantitative
25262#Mean L2 in cerebral peduncle on FA skeleton (right),Quantitative
25263#Mean L2 in cerebral peduncle on FA skeleton (left),Quantitative
25264#Mean L2 in anterior limb of internal capsule on FA skeleton (right),Quantitative
25265#Mean L2 in anterior limb of internal capsule on FA skeleton (left),Quantitative
25266#Mean L2 in posterior limb of internal capsule on FA skeleton (right),Quantitative
25267#Mean L2 in posterior limb of internal capsule on FA skeleton (left),Quantitative
25268#Mean L2 in retrolenticular part of internal capsule on FA skeleton (right),Quantitative
25269#Mean L2 in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25270#Mean L2 in anterior corona radiata on FA skeleton (right),Quantitative
25271#Mean L2 in anterior corona radiata on FA skeleton (left),Quantitative
25272#Mean L2 in superior corona radiata on FA skeleton (right),Quantitative
25273#Mean L2 in superior corona radiata on FA skeleton (left),Quantitative
25274#Mean L2 in posterior corona radiata on FA skeleton (right),Quantitative
25275#Mean L2 in posterior corona radiata on FA skeleton (left),Quantitative
25276#Mean L2 in posterior thalamic radiation on FA skeleton (right),Quantitative
25277#Mean L2 in posterior thalamic radiation on FA skeleton (left),Quantitative
25278#Mean L2 in sagittal stratum on FA skeleton (right),Quantitative
25279#Mean L2 in sagittal stratum on FA skeleton (left),Quantitative
25280#Mean L2 in external capsule on FA skeleton (right),Quantitative
25281#Mean L2 in external capsule on FA skeleton (left),Quantitative
25282#Mean L2 in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25283#Mean L2 in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25284#Mean L2 in cingulum hippocampus on FA skeleton (right),Quantitative
25285#Mean L2 in cingulum hippocampus on FA skeleton (left),Quantitative
25286#Mean L2 in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25287#Mean L2 in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25288#Mean L2 in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25289#Mean L2 in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25290#Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25291#Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25292#Mean L2 in uncinate fasciculus on FA skeleton (right),Quantitative
25293#Mean L2 in uncinate fasciculus on FA skeleton (left),Quantitative
25294#Mean L2 in tapetum on FA skeleton (right),Quantitative
25295#Mean L2 in tapetum on FA skeleton (left),Quantitative
25296#Mean L3 in middle cerebellar peduncle on FA skeleton,Quantitative
25297#Mean L3 in pontine crossing tract on FA skeleton,Quantitative
25298#Mean L3 in genu of corpus callosum on FA skeleton,Quantitative
25299#Mean L3 in body of corpus callosum on FA skeleton,Quantitative
25300#Mean L3 in splenium of corpus callosum on FA skeleton,Quantitative
25301#Mean L3 in fornix on FA skeleton,Quantitative
25302#Mean L3 in corticospinal tract on FA skeleton (right),Quantitative
25303#Mean L3 in corticospinal tract on FA skeleton (left),Quantitative
25304#Mean L3 in medial lemniscus on FA skeleton (right),Quantitative
25305#Mean L3 in medial lemniscus on FA skeleton (left),Quantitative
25306#Mean L3 in inferior cerebellar peduncle on FA skeleton (right),Quantitative
25307#Mean L3 in inferior cerebellar peduncle on FA skeleton (left),Quantitative
25308#Mean L3 in superior cerebellar peduncle on FA skeleton (right),Quantitative
25309#Mean L3 in superior cerebellar peduncle on FA skeleton (left),Quantitative
25310#Mean L3 in cerebral peduncle on FA skeleton (right),Quantitative
25311#Mean L3 in cerebral peduncle on FA skeleton (left),Quantitative
25312#Mean L3 in anterior limb of internal capsule on FA skeleton (right),Quantitative
25313#Mean L3 in anterior limb of internal capsule on FA skeleton (left),Quantitative
25314#Mean L3 in posterior limb of internal capsule on FA skeleton (right),Quantitative
25315#Mean L3 in posterior limb of internal capsule on FA skeleton (left),Quantitative
25316#Mean L3 in retrolenticular part of internal capsule on FA skeleton (right),Quantitative
25317#Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25318#Mean L3 in anterior corona radiata on FA skeleton (right),Quantitative
25319#Mean L3 in anterior corona radiata on FA skeleton (left),Quantitative
25320#Mean L3 in superior corona radiata on FA skeleton (right),Quantitative
25321#Mean L3 in superior corona radiata on FA skeleton (left),Quantitative
25322#Mean L3 in posterior corona radiata on FA skeleton (right),Quantitative
25323#Mean L3 in posterior corona radiata on FA skeleton (left),Quantitative
25324#Mean L3 in posterior thalamic radiation on FA skeleton (right),Quantitative
25325#Mean L3 in posterior thalamic radiation on FA skeleton (left),Quantitative
25326#Mean L3 in sagittal stratum on FA skeleton (right),Quantitative
25327#Mean L3 in sagittal stratum on FA skeleton (left),Quantitative
25328#Mean L3 in external capsule on FA skeleton (right),Quantitative
25329#Mean L3 in external capsule on FA skeleton (left),Quantitative
25330#Mean L3 in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25331#Mean L3 in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25332#Mean L3 in cingulum hippocampus on FA skeleton (right),Quantitative
25333#Mean L3 in cingulum hippocampus on FA skeleton (left),Quantitative
25334#Mean L3 in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25335#Mean L3 in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25336#Mean L3 in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25337#Mean L3 in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25338#Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25339#Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25340#Mean L3 in uncinate fasciculus on FA skeleton (right),Quantitative
25341#Mean L3 in uncinate fasciculus on FA skeleton (left),Quantitative
25342#Mean L3 in tapetum on FA skeleton (right),Quantitative
25343#Mean L3 in tapetum on FA skeleton (left),Quantitative
25344#Mean ICVF in middle cerebellar peduncle on FA skeleton,Quantitative
25345#Mean ICVF in pontine crossing tract on FA skeleton,Quantitative
25346#Mean ICVF in genu of corpus callosum on FA skeleton,Quantitative
25347#Mean ICVF in body of corpus callosum on FA skeleton,Quantitative
25348#Mean ICVF in splenium of corpus callosum on FA skeleton,Quantitative
25349#Mean ICVF in fornix on FA skeleton,Quantitative
25350#Mean ICVF in corticospinal tract on FA skeleton (right),Quantitative
25351#Mean ICVF in corticospinal tract on FA skeleton (left),Quantitative
25352#Mean ICVF in medial lemniscus on FA skeleton (right),Quantitative
25353#Mean ICVF in medial lemniscus on FA skeleton (left),Quantitative
25354#Mean ICVF in inferior cerebellar peduncle on FA skeleton (right),Quantitative
25355#Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),Quantitative
25356#Mean ICVF in superior cerebellar peduncle on FA skeleton (right),Quantitative
25357#Mean ICVF in superior cerebellar peduncle on FA skeleton (left),Quantitative
25358#Mean ICVF in cerebral peduncle on FA skeleton (right),Quantitative
25359#Mean ICVF in cerebral peduncle on FA skeleton (left),Quantitative
25360#Mean ICVF in anterior limb of internal capsule on FA skeleton (right),Quantitative
25361#Mean ICVF in anterior limb of internal capsule on FA skeleton (left),Quantitative
25362#Mean ICVF in posterior limb of internal capsule on FA skeleton (right),Quantitative
25363#Mean ICVF in posterior limb of internal capsule on FA skeleton (left),Quantitative
25364#Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right),Quantitative
25365#Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25366#Mean ICVF in anterior corona radiata on FA skeleton (right),Quantitative
25367#Mean ICVF in anterior corona radiata on FA skeleton (left),Quantitative
25368#Mean ICVF in superior corona radiata on FA skeleton (right),Quantitative
25369#Mean ICVF in superior corona radiata on FA skeleton (left),Quantitative
25370#Mean ICVF in posterior corona radiata on FA skeleton (right),Quantitative
25371#Mean ICVF in posterior corona radiata on FA skeleton (left),Quantitative
25372#Mean ICVF in posterior thalamic radiation on FA skeleton (right),Quantitative
25373#Mean ICVF in posterior thalamic radiation on FA skeleton (left),Quantitative
25374#Mean ICVF in sagittal stratum on FA skeleton (right),Quantitative
25375#Mean ICVF in sagittal stratum on FA skeleton (left),Quantitative
25376#Mean ICVF in external capsule on FA skeleton (right),Quantitative
25377#Mean ICVF in external capsule on FA skeleton (left),Quantitative
25378#Mean ICVF in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25379#Mean ICVF in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25380#Mean ICVF in cingulum hippocampus on FA skeleton (right),Quantitative
25381#Mean ICVF in cingulum hippocampus on FA skeleton (left),Quantitative
25382#Mean ICVF in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25383#Mean ICVF in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25384#Mean ICVF in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25385#Mean ICVF in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25386#Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25387#Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25388#Mean ICVF in uncinate fasciculus on FA skeleton (right),Quantitative
25389#Mean ICVF in uncinate fasciculus on FA skeleton (left),Quantitative
25390#Mean ICVF in tapetum on FA skeleton (right),Quantitative
25391#Mean ICVF in tapetum on FA skeleton (left),Quantitative
25392#Mean OD in middle cerebellar peduncle on FA skeleton,Quantitative
25393#Mean OD in pontine crossing tract on FA skeleton,Quantitative
25394#Mean OD in genu of corpus callosum on FA skeleton,Quantitative
25395#Mean OD in body of corpus callosum on FA skeleton,Quantitative
25396#Mean OD in splenium of corpus callosum on FA skeleton,Quantitative
25397#Mean OD in fornix on FA skeleton,Quantitative
25398#Mean OD in corticospinal tract on FA skeleton (right),Quantitative
25399#Mean OD in corticospinal tract on FA skeleton (left),Quantitative
25400#Mean OD in medial lemniscus on FA skeleton (right),Quantitative
25401#Mean OD in medial lemniscus on FA skeleton (left),Quantitative
25402#Mean OD in inferior cerebellar peduncle on FA skeleton (right),Quantitative
25403#Mean OD in inferior cerebellar peduncle on FA skeleton (left),Quantitative
25404#Mean OD in superior cerebellar peduncle on FA skeleton (right),Quantitative
25405#Mean OD in superior cerebellar peduncle on FA skeleton (left),Quantitative
25406#Mean OD in cerebral peduncle on FA skeleton (right),Quantitative
25407#Mean OD in cerebral peduncle on FA skeleton (left),Quantitative
25408#Mean OD in anterior limb of internal capsule on FA skeleton (right),Quantitative
25409#Mean OD in anterior limb of internal capsule on FA skeleton (left),Quantitative
25410#Mean OD in posterior limb of internal capsule on FA skeleton (right),Quantitative
25411#Mean OD in posterior limb of internal capsule on FA skeleton (left),Quantitative
25412#Mean OD in retrolenticular part of internal capsule on FA skeleton (right),Quantitative
25413#Mean OD in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25414#Mean OD in anterior corona radiata on FA skeleton (right),Quantitative
25415#Mean OD in anterior corona radiata on FA skeleton (left),Quantitative
25416#Mean OD in superior corona radiata on FA skeleton (right),Quantitative
25417#Mean OD in superior corona radiata on FA skeleton (left),Quantitative
25418#Mean OD in posterior corona radiata on FA skeleton (right),Quantitative
25419#Mean OD in posterior corona radiata on FA skeleton (left),Quantitative
25420#Mean OD in posterior thalamic radiation on FA skeleton (right),Quantitative
25421#Mean OD in posterior thalamic radiation on FA skeleton (left),Quantitative
25422#Mean OD in sagittal stratum on FA skeleton (right),Quantitative
25423#Mean OD in sagittal stratum on FA skeleton (left),Quantitative
25424#Mean OD in external capsule on FA skeleton (right),Quantitative
25425#Mean OD in external capsule on FA skeleton (left),Quantitative
25426#Mean OD in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25427#Mean OD in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25428#Mean OD in cingulum hippocampus on FA skeleton (right),Quantitative
25429#Mean OD in cingulum hippocampus on FA skeleton (left),Quantitative
25430#Mean OD in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25431#Mean OD in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25432#Mean OD in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25433#Mean OD in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25434#Mean OD in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25435#Mean OD in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25436#Mean OD in uncinate fasciculus on FA skeleton (right),Quantitative
25437#Mean OD in uncinate fasciculus on FA skeleton (left),Quantitative
25438#Mean OD in tapetum on FA skeleton (right),Quantitative
25439#Mean OD in tapetum on FA skeleton (left),Quantitative
25440#Mean ISOVF in middle cerebellar peduncle on FA skeleton,Quantitative
25441#Mean ISOVF in pontine crossing tract on FA skeleton,Quantitative
25442#Mean ISOVF in genu of corpus callosum on FA skeleton,Quantitative
25443#Mean ISOVF in body of corpus callosum on FA skeleton,Quantitative
25444#Mean ISOVF in splenium of corpus callosum on FA skeleton,Quantitative
25445#Mean ISOVF in fornix on FA skeleton,Quantitative
25446#Mean ISOVF in corticospinal tract on FA skeleton (right),Quantitative
25447#Mean ISOVF in corticospinal tract on FA skeleton (left),Quantitative
25448#Mean ISOVF in medial lemniscus on FA skeleton (right),Quantitative
25449#Mean ISOVF in medial lemniscus on FA skeleton (left),Quantitative
25450#Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right),Quantitative
25451#Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left),Quantitative
25452#Mean ISOVF in superior cerebellar peduncle on FA skeleton (right),Quantitative
25453#Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),Quantitative
25454#Mean ISOVF in cerebral peduncle on FA skeleton (right),Quantitative
25455#Mean ISOVF in cerebral peduncle on FA skeleton (left),Quantitative
25456#Mean ISOVF in anterior limb of internal capsule on FA skeleton (right),Quantitative
25457#Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),Quantitative
25458#Mean ISOVF in posterior limb of internal capsule on FA skeleton (right),Quantitative
25459#Mean ISOVF in posterior limb of internal capsule on FA skeleton (left),Quantitative
25460#Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),Quantitative
25461#Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left),Quantitative
25462#Mean ISOVF in anterior corona radiata on FA skeleton (right),Quantitative
25463#Mean ISOVF in anterior corona radiata on FA skeleton (left),Quantitative
25464#Mean ISOVF in superior corona radiata on FA skeleton (right),Quantitative
25465#Mean ISOVF in superior corona radiata on FA skeleton (left),Quantitative
25466#Mean ISOVF in posterior corona radiata on FA skeleton (right),Quantitative
25467#Mean ISOVF in posterior corona radiata on FA skeleton (left),Quantitative
25468#Mean ISOVF in posterior thalamic radiation on FA skeleton (right),Quantitative
25469#Mean ISOVF in posterior thalamic radiation on FA skeleton (left),Quantitative
25470#Mean ISOVF in sagittal stratum on FA skeleton (right),Quantitative
25471#Mean ISOVF in sagittal stratum on FA skeleton (left),Quantitative
25472#Mean ISOVF in external capsule on FA skeleton (right),Quantitative
25473#Mean ISOVF in external capsule on FA skeleton (left),Quantitative
25474#Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right),Quantitative
25475#Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left),Quantitative
25476#Mean ISOVF in cingulum hippocampus on FA skeleton (right),Quantitative
25477#Mean ISOVF in cingulum hippocampus on FA skeleton (left),Quantitative
25478#Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right),Quantitative
25479#Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left),Quantitative
25480#Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right),Quantitative
25481#Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),Quantitative
25482#Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right),Quantitative
25483#Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left),Quantitative
25484#Mean ISOVF in uncinate fasciculus on FA skeleton (right),Quantitative
25485#Mean ISOVF in uncinate fasciculus on FA skeleton (left),Quantitative
25486#Mean ISOVF in tapetum on FA skeleton (right),Quantitative
25487#Mean ISOVF in tapetum on FA skeleton (left),Quantitative
25488#Weighted-mean FA in tract acoustic radiation (left),Quantitative
25489#Weighted-mean FA in tract acoustic radiation (right),Quantitative
25490#Weighted-mean FA in tract anterior thalamic radiation (left),Quantitative
25491#Weighted-mean FA in tract anterior thalamic radiation (right),Quantitative
25492#Weighted-mean FA in tract cingulate gyrus part of cingulum (left),Quantitative
25493#Weighted-mean FA in tract cingulate gyrus part of cingulum (right),Quantitative
25494#Weighted-mean FA in tract parahippocampal part of cingulum (left),Quantitative
25495#Weighted-mean FA in tract parahippocampal part of cingulum (right),Quantitative
25496#Weighted-mean FA in tract corticospinal tract (left),Quantitative
25497#Weighted-mean FA in tract corticospinal tract (right),Quantitative
25498#Weighted-mean FA in tract forceps major,Quantitative
25499#Weighted-mean FA in tract forceps minor,Quantitative
25500#Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),Quantitative
25501#Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),Quantitative
25502#Weighted-mean FA in tract inferior longitudinal fasciculus (left),Quantitative
25503#Weighted-mean FA in tract inferior longitudinal fasciculus (right),Quantitative
25504#Weighted-mean FA in tract middle cerebellar peduncle,Quantitative
25505#Weighted-mean FA in tract medial lemniscus (left),Quantitative
25506#Weighted-mean FA in tract medial lemniscus (right),Quantitative
25507#Weighted-mean FA in tract posterior thalamic radiation (left),Quantitative
25508#Weighted-mean FA in tract posterior thalamic radiation (right),Quantitative
25509#Weighted-mean FA in tract superior longitudinal fasciculus (left),Quantitative
25510#Weighted-mean FA in tract superior longitudinal fasciculus (right),Quantitative
25511#Weighted-mean FA in tract superior thalamic radiation (left),Quantitative
25512#Weighted-mean FA in tract superior thalamic radiation (right),Quantitative
25513#Weighted-mean FA in tract uncinate fasciculus (left),Quantitative
25514#Weighted-mean FA in tract uncinate fasciculus (right),Quantitative
25515#Weighted-mean MD in tract acoustic radiation (left),Quantitative
25516#Weighted-mean MD in tract acoustic radiation (right),Quantitative
25517#Weighted-mean MD in tract anterior thalamic radiation (left),Quantitative
25518#Weighted-mean MD in tract anterior thalamic radiation (right),Quantitative
25519#Weighted-mean MD in tract cingulate gyrus part of cingulum (left),Quantitative
25520#Weighted-mean MD in tract cingulate gyrus part of cingulum (right),Quantitative
25521#Weighted-mean MD in tract parahippocampal part of cingulum (left),Quantitative
25522#Weighted-mean MD in tract parahippocampal part of cingulum (right),Quantitative
25523#Weighted-mean MD in tract corticospinal tract (left),Quantitative
25524#Weighted-mean MD in tract corticospinal tract (right),Quantitative
25525#Weighted-mean MD in tract forceps major,Quantitative
25526#Weighted-mean MD in tract forceps minor,Quantitative
25527#Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),Quantitative
25528#Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),Quantitative
25529#Weighted-mean MD in tract inferior longitudinal fasciculus (left),Quantitative
25530#Weighted-mean MD in tract inferior longitudinal fasciculus (right),Quantitative
25531#Weighted-mean MD in tract middle cerebellar peduncle,Quantitative
25532#Weighted-mean MD in tract medial lemniscus (left),Quantitative
25533#Weighted-mean MD in tract medial lemniscus (right),Quantitative
25534#Weighted-mean MD in tract posterior thalamic radiation (left),Quantitative
25535#Weighted-mean MD in tract posterior thalamic radiation (right),Quantitative
25536#Weighted-mean MD in tract superior longitudinal fasciculus (left),Quantitative
25537#Weighted-mean MD in tract superior longitudinal fasciculus (right),Quantitative
25538#Weighted-mean MD in tract superior thalamic radiation (left),Quantitative
25539#Weighted-mean MD in tract superior thalamic radiation (right),Quantitative
25540#Weighted-mean MD in tract uncinate fasciculus (left),Quantitative
25541#Weighted-mean MD in tract uncinate fasciculus (right),Quantitative
25542#Weighted-mean MO in tract acoustic radiation (left),Quantitative
25543#Weighted-mean MO in tract acoustic radiation (right),Quantitative
25544#Weighted-mean MO in tract anterior thalamic radiation (left),Quantitative
25545#Weighted-mean MO in tract anterior thalamic radiation (right),Quantitative
25546#Weighted-mean MO in tract cingulate gyrus part of cingulum (left),Quantitative
25547#Weighted-mean MO in tract cingulate gyrus part of cingulum (right),Quantitative
25548#Weighted-mean MO in tract parahippocampal part of cingulum (left),Quantitative
25549#Weighted-mean MO in tract parahippocampal part of cingulum (right),Quantitative
25550#Weighted-mean MO in tract corticospinal tract (left),Quantitative
25551#Weighted-mean MO in tract corticospinal tract (right),Quantitative
25552#Weighted-mean MO in tract forceps major,Quantitative
25553#Weighted-mean MO in tract forceps minor,Quantitative
25554#Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),Quantitative
25555#Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),Quantitative
25556#Weighted-mean MO in tract inferior longitudinal fasciculus (left),Quantitative
25557#Weighted-mean MO in tract inferior longitudinal fasciculus (right),Quantitative
25558#Weighted-mean MO in tract middle cerebellar peduncle,Quantitative
25559#Weighted-mean MO in tract medial lemniscus (left),Quantitative
25560#Weighted-mean MO in tract medial lemniscus (right),Quantitative
25561#Weighted-mean MO in tract posterior thalamic radiation (left),Quantitative
25562#Weighted-mean MO in tract posterior thalamic radiation (right),Quantitative
25563#Weighted-mean MO in tract superior longitudinal fasciculus (left),Quantitative
25564#Weighted-mean MO in tract superior longitudinal fasciculus (right),Quantitative
25565#Weighted-mean MO in tract superior thalamic radiation (left),Quantitative
25566#Weighted-mean MO in tract superior thalamic radiation (right),Quantitative
25567#Weighted-mean MO in tract uncinate fasciculus (left),Quantitative
25568#Weighted-mean MO in tract uncinate fasciculus (right),Quantitative
25569#Weighted-mean L1 in tract acoustic radiation (left),Quantitative
25570#Weighted-mean L1 in tract acoustic radiation (right),Quantitative
25571#Weighted-mean L1 in tract anterior thalamic radiation (left),Quantitative
25572#Weighted-mean L1 in tract anterior thalamic radiation (right),Quantitative
25573#Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),Quantitative
25574#Weighted-mean L1 in tract cingulate gyrus part of cingulum (right),Quantitative
25575#Weighted-mean L1 in tract parahippocampal part of cingulum (left),Quantitative
25576#Weighted-mean L1 in tract parahippocampal part of cingulum (right),Quantitative
25577#Weighted-mean L1 in tract corticospinal tract (left),Quantitative
25578#Weighted-mean L1 in tract corticospinal tract (right),Quantitative
25579#Weighted-mean L1 in tract forceps major,Quantitative
25580#Weighted-mean L1 in tract forceps minor,Quantitative
25581#Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),Quantitative
25582#Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right),Quantitative
25583#Weighted-mean L1 in tract inferior longitudinal fasciculus (left),Quantitative
25584#Weighted-mean L1 in tract inferior longitudinal fasciculus (right),Quantitative
25585#Weighted-mean L1 in tract middle cerebellar peduncle,Quantitative
25586#Weighted-mean L1 in tract medial lemniscus (left),Quantitative
25587#Weighted-mean L1 in tract medial lemniscus (right),Quantitative
25588#Weighted-mean L1 in tract posterior thalamic radiation (left),Quantitative
25589#Weighted-mean L1 in tract posterior thalamic radiation (right),Quantitative
25590#Weighted-mean L1 in tract superior longitudinal fasciculus (left),Quantitative
25591#Weighted-mean L1 in tract superior longitudinal fasciculus (right),Quantitative
25592#Weighted-mean L1 in tract superior thalamic radiation (left),Quantitative
25593#Weighted-mean L1 in tract superior thalamic radiation (right),Quantitative
25594#Weighted-mean L1 in tract uncinate fasciculus (left),Quantitative
25595#Weighted-mean L1 in tract uncinate fasciculus (right),Quantitative
25596#Weighted-mean L2 in tract acoustic radiation (left),Quantitative
25597#Weighted-mean L2 in tract acoustic radiation (right),Quantitative
25598#Weighted-mean L2 in tract anterior thalamic radiation (left),Quantitative
25599#Weighted-mean L2 in tract anterior thalamic radiation (right),Quantitative
25600#Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),Quantitative
25601#Weighted-mean L2 in tract cingulate gyrus part of cingulum (right),Quantitative
25602#Weighted-mean L2 in tract parahippocampal part of cingulum (left),Quantitative
25603#Weighted-mean L2 in tract parahippocampal part of cingulum (right),Quantitative
25604#Weighted-mean L2 in tract corticospinal tract (left),Quantitative
25605#Weighted-mean L2 in tract corticospinal tract (right),Quantitative
25606#Weighted-mean L2 in tract forceps major,Quantitative
25607#Weighted-mean L2 in tract forceps minor,Quantitative
25608#Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),Quantitative
25609#Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),Quantitative
25610#Weighted-mean L2 in tract inferior longitudinal fasciculus (left),Quantitative
25611#Weighted-mean L2 in tract inferior longitudinal fasciculus (right),Quantitative
25612#Weighted-mean L2 in tract middle cerebellar peduncle,Quantitative
25613#Weighted-mean L2 in tract medial lemniscus (left),Quantitative
25614#Weighted-mean L2 in tract medial lemniscus (right),Quantitative
25615#Weighted-mean L2 in tract posterior thalamic radiation (left),Quantitative
25616#Weighted-mean L2 in tract posterior thalamic radiation (right),Quantitative
25617#Weighted-mean L2 in tract superior longitudinal fasciculus (left),Quantitative
25618#Weighted-mean L2 in tract superior longitudinal fasciculus (right),Quantitative
25619#Weighted-mean L2 in tract superior thalamic radiation (left),Quantitative
25620#Weighted-mean L2 in tract superior thalamic radiation (right),Quantitative
